# GATHER QUESTS (20 quests)
Сбор трав | Найти целебные травы в лесу | 1 | 3 | 6 | Common | 0.08 | Gather
Собрать грибы | Найти редкие грибы под деревьями | 1 | 4 | 8 | Common | 0.10 | Gather
Добыча руды | Собрать железную руду в шахте | 2 | 6 | 12 | Common | 0.12 | Gather
Сбор ягод | Собрать спелые ягоды для алхимика | 1 | 3 | 5 | Common | 0.06 | Gather
Собрать древесину | Заготовить дрова для деревни | 2 | 5 | 10 | Common | 0.09 | Gather
Добыча кристаллов | Найти магические кристаллы | 5 | 10 | 18 | Uncommon | 0.18 | Gather
Сбор редких цветов | Найти лунные цветы для зелий | 3 | 7 | 14 | Uncommon | 0.15 | Gather
Охота за жемчугом | Достать жемчужины со дна озера | 6 | 12 | 22 | Uncommon | 0.20 | Gather
Сбор драгоценных камней | Найти изумруды в пещере | 8 | 15 | 28 | Rare | 0.25 | Gather
Добыча мифрила | Собрать редкий мифрил | 12 | 20 | 35 | Rare | 0.30 | Gather
Сбор звездной пыли | Собрать пыль упавших звезд | 15 | 25 | 40 | Epic | 0.35 | Gather
Добыча адамантита | Найти легендарный адамантит | 20 | 35 | 50 | Epic | 0.40 | Gather
Сбор эльфийских листьев | Найти листья древних эльфов | 10 | 18 | 30 | Rare | 0.28 | Gather
Добыча золота | Намыть золото в реке | 4 | 8 | 16 | Uncommon | 0.16 | Gather
Сбор морских ракушек | Найти редкие ракушки на берегу | 2 | 5 | 9 | Common | 0.11 | Gather
Охота за трюфелями | Найти деликатесные трюфели | 7 | 13 | 25 | Rare | 0.26 | Gather
Сбор метеоритов | Найти осколки упавшего метеорита | 18 | 30 | 45 | Epic | 0.38 | Gather
Добыча льда | Собрать вечный лед с вершины горы | 11 | 19 | 32 | Rare | 0.29 | Gather
Сбор пчелиного меда | Собрать мед диких пчел | 3 | 6 | 11 | Uncommon | 0.13 | Gather
Добыча обсидиана | Найти вулканический обсидиан | 25 | 40 | 60 | Legendary | 0.45 | Gather

# COMBAT QUESTS (20 quests)
Охота на кабанов | Найти и победить дикого кабана | 3 | 8 | 15 | Uncommon | 0.15 | Combat
